GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
untitled,praktikum,Bun,0,15,0,0,0,6,0,3,0,3
untitled,praktikum,IngredientType,0,24,0,0,0,3,0,1,0,1
untitled,praktikum,Burger,10,123,0,4,2,21,1,8,1,6
untitled,praktikum,Database,3,103,0,0,1,14,1,2,1,2
untitled,praktikum,Ingredient,0,21,0,0,0,8,0,4,0,4
untitled,praktikum,Praktikum,59,0,0,0,14,0,2,0,2,0
